{'title': '2022年剧情冒险《搜救/极地营救》HD国语中英双字', 'create_local': '◎产\u3000\u3000地\u3000中国大陆', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情 / 冒险 / 灾难', 'douban_grade': '◎豆瓣评分\u30005.6/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000108分钟'}
{'title': '2021年高分获奖动画纪录片《逃亡》BD中字', 'create_local': '◎产\u3000\u3000地\u3000丹麦,瑞典,挪威,法国,美国,斯洛文尼亚,爱沙尼亚,西班牙,意大利,芬兰', 'up_year': '2021年', 'type': '◎类\u3000\u3000别\u3000动画/纪录片', 'douban_grade': '◎豆瓣评分\u30008.2/10 from 7430  users', 'time_total': '◎片\u3000\u3000长\u300088分钟'}
{'title': '2022年动作《亡命救护车》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000动作/犯罪', 'douban_grade': '◎豆瓣评分\u30005.8/10 from 7310  users', 'time_total': '◎片\u3000\u3000长\u3000136分钟'}
{'title': '2022年动作冒险《神秘海域》HD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000动作 /  冒险', 'douban_grade': '◎豆瓣评分\u30006.3/10 from 41186  users', 'time_total': '◎片\u3000\u3000长\u3000116分钟'}
{'title': '2021年爱情《喜欢你是你》BD粤语中字', 'create_local': '◎产\u3000\u3000地\u3000中国香港', 'up_year': '2021年', 'type': '◎类\u3000\u3000别\u3000爱情/同性', 'douban_grade': '◎豆瓣评分\u30006.7/10 from 1758 users', 'time_total': '◎片\u3000\u3000长\u300093分钟'}
{'title': '2021年高分纪录片《渔业阴谋》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2021年', 'type': '◎类\u3000\u3000别\u3000纪录片', 'douban_grade': '◎豆瓣评分\u30008.5/10 from 4862 users', 'time_total': '◎片\u3000\u3000长\u300089分钟'}
{'title': '2022年高分纪录片《回到太空》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000纪录片', 'douban_grade': '◎豆瓣评分\u30008.8/10 from 1622 users', 'time_total': '◎片\u3000\u3000长\u3000128分钟'}
{'title': '2022年动画喜剧《喜羊羊与灰太狼之筐出未来》HD国语中字', 'create_local': '◎产\u3000\u3000地\u3000中国大陆', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧  / 动画 /  运动', 'douban_grade': '◎豆瓣评分\u30006.9/10 from  25785 users', 'time_total': '◎片\u3000\u3000长\u300094分钟'}
{'title': '2022年动作《新蝙蝠侠》HD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/动作/悬疑/犯罪', 'douban_grade': '◎豆瓣评分\u30007.6/10 from 167363 users', 'time_total': '◎片\u3000\u3000长\u3000175分钟'}
{'title': '2022年剧情《奇迹·笨小孩》HD国语中字', 'create_local': '◎产\u3000\u3000地\u3000中国大陆', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情', 'douban_grade': '◎豆瓣评分\u30007.4/10  from 317887 users', 'time_total': '◎片\u3000\u3000长\u3000106分钟'}
{'title': '2022年剧情惊悚《无限风暴》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000英国,波兰,澳大利亚', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/惊悚', 'douban_grade': '◎豆瓣评分\u30006.4/10 from 94 users', 'time_total': '◎片\u3000\u3000长\u300097分钟'}
{'title': '2022年剧情爱情科幻《平行爱情》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/爱情/科幻', 'douban_grade': '◎豆瓣评分\u30005.5/10 from 89 users', 'time_total': '◎片\u3000\u3000长\u3000115分钟'}
{'title': '2022年喜剧音乐《重金属天团》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧/音乐', 'douban_grade': '◎豆瓣评分\u30007.1/10 from 709 users', 'time_total': '◎片\u3000\u3000长\u300098分钟'}
{'title': '2022年剧情《誓不低头》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/犯罪', 'douban_grade': '◎豆瓣评分\u30007.8/10 from 1141  users', 'time_total': '◎片\u3000\u3000长\u3000106分钟'}
{'title': '2022年喜剧《内特的梦想剧院》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/喜剧/歌舞', 'douban_grade': '◎豆瓣评分\u30006.8/10 from 195 users', 'time_total': '◎片\u3000\u3000长\u300091分钟'}
